,Dataset,Input Size,Type,Classifier,Formated Results,Area Under Curve
38,Task 2 (25% Noise),4096,Adversarial AE (0.75 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
39,Task 2 (25% Noise),4096,Adversarial AE (0.75 Masked),XGBClassifier,"1.0000 (1.0000, 1.0000)",1.0
40,Task 2 (25% Noise),4096,Adversarial AE (0.75 Masked),GradientBoostingClassifier,"0.8492 (0.7800, 0.9500)",0.95
41,Task 2 (25% Noise),4096,Adversarial AE (0.75 Masked),LogisticRegression,"0.8044 (0.6933, 1.0000)",0.6944444444444444
42,Task 2 (25% Noise),4096,Adversarial AE (0.75 Masked),GMM,"0.7836 (0.6667, 1.0000)",0.5
43,Task 2 (25% Noise),4096,Adversarial AE (0.75 Masked),KNeighborsClassifier,"0.7836 (0.6667, 1.0000)",0.5
44,Task 2 (25% Noise),4096,Adversarial AE (0.75 Masked),HBOS,"0.6190 (0.6833, 0.6800)",0.5566666666666666
45,Task 2 (25% Noise),4096,Adversarial AE (0.75 Masked),COPOD,"0.1000 (0.2000, 0.0667)",0.5333333333333333
46,Task 2 (25% Noise),4096,Adversarial AE (0.75 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
47,Task 2 (25% Noise),4096,Adversarial AE (0.50 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
48,Task 2 (25% Noise),4096,Adversarial AE (0.50 Masked),GMM,"0.9055 (0.8333, 1.0000)",0.5
49,Task 2 (25% Noise),4096,Adversarial AE (0.50 Masked),LogisticRegression,"0.8236 (0.7333, 1.0000)",0.6
50,Task 2 (25% Noise),4096,Adversarial AE (0.50 Masked),XGBClassifier,"0.7890 (0.7800, 0.8667)",0.75
51,Task 2 (25% Noise),4096,Adversarial AE (0.50 Masked),GradientBoostingClassifier,"0.7759 (0.7667, 0.8433)",0.7333333333333334
52,Task 2 (25% Noise),4096,Adversarial AE (0.50 Masked),KNeighborsClassifier,"0.7685 (0.6333, 1.0000)",0.5
53,Task 2 (25% Noise),4096,Adversarial AE (0.50 Masked),RandomForestClassifier,"0.6500 (0.5000, 1.0000)",1.0
54,Task 2 (25% Noise),4096,Adversarial AE (0.50 Masked),HBOS,"0.6421 (0.8667, 0.5267)",0.6
55,Task 2 (25% Noise),4096,Adversarial AE (0.50 Masked),COPOD,"0.1500 (0.1500, 0.1500)",0.475
56,Task 2 (25% Noise),4096,Adversarial AE (0.50 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
57,Task 2 (25% Noise),4096,Adversarial AE (0.25 Masked),SVC,"1.0000 (1.0000, 1.0000)",1.0
58,Task 2 (25% Noise),4096,Adversarial AE (0.25 Masked),XGBClassifier,"1.0000 (1.0000, 1.0000)",1.0
59,Task 2 (25% Noise),4096,Adversarial AE (0.25 Masked),GradientBoostingClassifier,"0.8596 (0.7967, 0.9500)",0.7794444444444444
60,Task 2 (25% Noise),4096,Adversarial AE (0.25 Masked),GMM,"0.8000 (0.6667, 1.0000)",0.5
61,Task 2 (25% Noise),4096,Adversarial AE (0.25 Masked),KNeighborsClassifier,"0.8000 (0.6667, 1.0000)",0.5
62,Task 2 (25% Noise),4096,Adversarial AE (0.25 Masked),LogisticRegression,"0.8000 (0.6667, 1.0000)",0.625
63,Task 2 (25% Noise),4096,Adversarial AE (0.25 Masked),HBOS,"0.5800 (0.6400, 0.6333)",0.4166666666666667
64,Task 2 (25% Noise),4096,Adversarial AE (0.25 Masked),COPOD,"0.1571 (0.1167, 0.2667)",0.4433333333333333
65,Task 2 (25% Noise),4096,Adversarial AE (0.25 Masked),ABOD,"0.0000 (0.0000, 0.0000)",0.5
66,Task 2 (25% Noise),4096,Adversarial AE,COPOD,"1.0000 (1.0000, 1.0000)",1.0
67,Task 2 (25% Noise),4096,Adversarial AE,ExtraTreesClassifier,"1.0000 (1.0000, 1.0000)",1.0
68,Task 2 (25% Noise),4096,Adversarial AE,GMM,"1.0000 (1.0000, 1.0000)",1.0
69,Task 2 (25% Noise),4096,Adversarial AE,GradientBoostingClassifier,"1.0000 (1.0000, 1.0000)",1.0
70,Task 2 (25% Noise),4096,Adversarial AE,HBOS,"1.0000 (1.0000, 1.0000)",1.0
