Dataset,Input Size,Type,Classifier,Precision,Recall,F1-Score,Area Under Curve,Precision Standard Deviation,Recall Standard Deviation,F1-Score Standard Deviation,Area Under Curve Standard Deviation,Autoencoders,AE Count,Formated Results
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_5.00,0.25,0.00925925925925925,0.01785714285714285,,0.5,0.0185185185185185,0.0357142857142857,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.0179 (0.2500, 0.0093)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_5.20,0.25,0.00925925925925925,0.01785714285714285,,0.5,0.0185185185185185,0.0357142857142857,,20240221171049:20240221171301:20240221171513:20240221171722,4,"0.0179 (0.2500, 0.0093)"
Task 3,12288,Vanilla AE (0.50 Masked),ABOD,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20240220085522:20240220085805:20240220090052,3,"0.0000 (0.0000, 0.0000)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_5.40,0.0,0.0,0.0,,0.0,0.0,0.0,,20240220085522:20240220085805:20240220090052,3,"0.0000 (0.0000, 0.0000)"
Task 3,12288,Vanilla AE (0.50 Masked),ReconstructionThreshold_5.60,0.0,0.0,0.0,,0.0,0.0,0.0,,20240220085522:20240220085805:20240220090052,3,"0.0000 (0.0000, 0.0000)"
Task 3,4096,Vanilla AE (0.50 Masked),KNeighborsClassifier,0.65,0.6342857142857142,0.6100432900432899,0.7431547619047618,0.22924009336973164,0.11173492684720847,0.055172646430552724,0.03698507965085442,20240228223540:20240228223755:20240228224006:20240228224218:20240228224422,5,"0.6100 (0.6500, 0.6343)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.00,0.46692790910486187,0.8103817663817663,0.5871936611157968,,0.046793946942770934,0.10504384697476682,0.020436061143506275,,20240228214534:20240228215033:20240228215534:20240228220026:20240228220518,5,"0.5872 (0.4669, 0.8104)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_0.80,0.41651703304272525,0.9173333333333333,0.5707416267942584,,0.04279452519850783,0.05479879645830246,0.03403953056835049,,20240228214534:20240228215033:20240228215534:20240228220026:20240228220518,5,"0.5707 (0.4165, 0.9173)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.40,0.49902892503505736,0.5686723646723647,0.5241650011394436,,0.04184472293394481,0.10585508635694121,0.022569681632157414,,20240228214534:20240228215033:20240228215534:20240228220026:20240228220518,5,"0.5242 (0.4990, 0.5687)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.20,0.4598583863774427,0.6225641025641026,0.5221781609927092,,0.036041752829762644,0.14420154112768746,0.050300292758273114,,20240228214534:20240228215033:20240228215534:20240228220026:20240228220518,5,"0.5222 (0.4599, 0.6226)"
Task 3,4096,Vanilla AE (0.50 Masked),XGBClassifier,0.65,0.43285714285714283,0.5098778998778999,0.7764285714285715,0.29107081994288303,0.24053747451071097,0.26148715535883776,0.1369316743734335,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.5099 (0.6500, 0.4329)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.60,0.5225820105820105,0.533082621082621,0.5072247800167455,,0.04991859011690755,0.20008201823094132,0.07869657466040499,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.5072 (0.5226, 0.5331)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_1.80,0.5681064301552106,0.4868831908831909,0.5001765228470447,,0.10133521120695782,0.1729833749976691,0.06585982012626572,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.5002 (0.5681, 0.4869)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.00,0.6112447786131996,0.4492763532763533,0.489183426993986,,0.1374067829658126,0.1578137252383484,0.06947931890069249,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.4892 (0.6112, 0.4493)"
Task 3,4096,Vanilla AE (0.50 Masked),GradientBoostingClassifier,0.525,0.46964285714285714,0.48358585858585856,0.7035105519480519,0.21015867021530818,0.22650667122370488,0.18790661790187507,0.16424281666583418,20240228214534:20240228215033:20240228215534:20240228220026,4,"0.4836 (0.5250, 0.4696)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.20,0.630515683147262,0.40395441595441595,0.4654154613017357,,0.11521290125499509,0.16038000223127954,0.0871758655495646,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.4654 (0.6305, 0.4040)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.40,0.6563778614894233,0.35837037037037034,0.4382002629061453,,0.17352779209237235,0.11151088574934544,0.06455771473524845,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.4382 (0.6564, 0.3584)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.60,0.6732234432234432,0.2970712250712251,0.394379160571111,,0.16939542518595635,0.0755469350038702,0.05224447685934846,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.3944 (0.6732, 0.2971)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_2.80,0.7161904761904762,0.25944159544159545,0.3595212630506748,,0.1931244473239859,0.0928609077531134,0.0780918774888007,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.3595 (0.7162, 0.2594)"
Task 3,4096,Vanilla AE (0.50 Masked),COPOD,0.7333333333333333,0.26904761904761904,0.35857142857142854,0.6268315018315018,0.4346134936801766,0.28739584527631257,0.3146264386830314,0.14416897914749485,20240228210804:20240228211008:20240228211212:20240228211410:20240228211611,5,"0.3586 (0.7333, 0.2690)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.00,0.7288888888888889,0.2366267806267806,0.3319964349376114,,0.219651800767139,0.0995568822115044,0.0802027621495756,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.3320 (0.7289, 0.2366)"
Task 3,4096,Vanilla AE (0.50 Masked),ReconstructionThreshold_3.20,0.7288888888888889,0.21440455840455835,0.29995098039215684,,0.21965180076713897,0.12063458855288994,0.113377965887508,,20240228212918:20240228213218:20240228213506:20240228213753:20240228214046,5,"0.3000 (0.7289, 0.2144)"
